Id,Label,rank_class,translations,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,Location,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,pageranks,eigencentrality,modularity_class,chin_rc,engl_rc
34,漢軍外郎考授縣丞職銜兼,0,Han Bannerman Officer Tested for Brevet of Vice Magistrate,0,0,0,10,"0,207254","0,264072",,0,0,1,1,"0,000753",0,2,unranked,unranked
35,從一品官廕生,0,Hereditary Student (1b),0,0,0,8,"0,2","0,238123",,0,0,1,1,"0,000753",0,2,unranked,unranked
36,正二品官廕生,0,Hereditary Student (2a),0,0,0,8,"0,215247","0,286235",,0,0,3,3,"0,000753",0,2,unranked,unranked
37,漢軍二品官廕生,0,"Hereditary Student (Han bannermen, rank-class 2)",0,0,0,8,"0,2","0,238123",,0,0,1,1,"0,000753",0,2,unranked,unranked
38,庶吉士散館,0,Released Hanlin Batchelor,0,0,0,8,"0,2","0,238123",,0,0,1,1,"0,000753",0,2,unranked,unranked
124,各部院堂主事,60,Secretaries at the Ministries and Administrations in the Capital,0,0,0,7,"0,236686","0,279464",,0,0,1,1,"0,000753",0,2,正六品,6a
125,盛京刑部漢軍堂主事,60,Han Bannerman secretary at the Ministry of Justice,0,0,0,7,"0,236686","0,279464",,0,0,1,1,"0,000753",0,2,正六品,6a
126,六部滿漢堂司主事,60,Secretary in the Six Ministries,0,0,0,8,"0,203883","0,246344",,0,0,1,1,"0,000753",0,2,正六品,6a
127,步軍統領衙門主事,60,Secretary at Metropolitan Infantry Command,0,0,0,8,"0,203883","0,246344",,0,0,1,1,"0,000753",0,2,正六品,6a
128,候補候選兵馬司指揮,60,Expectant and Candidate Commander of the Warden Office,0,0,0,9,"0,179688","0,223085",,0,0,1,1,"0,000753",0,2,正六品,6a
129,候補候選外府通判,60,Expectant and Candidate Deputy Vice Prefect,0,0,0,9,"0,179688","0,223085",,0,0,1,1,"0,000753",0,2,正六品,6a
139,候補候選州同,65,Expectant and Candidate Department Vice Magistrate,0,0,0,10,"0,197772","0,252945",,0,0,1,1,"0,000753",0,2,從六品,6b
152,内閣典籍,70,Certification Clerk in the Grand Secretariat,0,0,0,7,"0,26257","0,354863",,0,4,10,14,"0,000972","0,006322",2,正七品,7a
155,候補候選兵馬司副指揮,70,Expectant and Candidate Vice Commander of the Warden’s Office,0,0,0,10,"0,197772","0,252945",,0,0,1,1,"0,000753",0,2,正七品,7a
156,漢軍七品筆帖式,70,Han Bannerman Clerk 7th Rank,0,0,0,9,"0,219269","0,293615",,0,0,1,1,"0,000753",0,2,正七品,7a
157,漢軍内閣典籍,70,Han Bannerman Certification Clerk in the Grand Secretariat,0,0,0,8,"0,203883","0,246344",,0,0,1,1,"0,000753",0,2,正七品,7a
158,舉人候選知縣,70,Juren selected for County Magistrate,0,0,0,10,"0,203474","0,279694",,0,0,4,4,"0,000753",0,2,正七品,7a
159,候補知縣,70,Expectant County Magistrate,0,0,0,9,"0,179688","0,223085",,0,0,1,1,"0,000753",0,2,正七品,7a
192,漢軍八品筆帖式,80,Han Bannerman Clerk 8th Rank,0,0,0,9,"0,211896","0,276615",,0,0,2,2,"0,000753",0,2,正八品,8a
193,鹽運司庫大使,80,Storehouse Commissioner-in-chief at the Salt Distribution Commission,0,0,0,9,"0,233974","0,333953",,0,0,4,4,"0,000753",0,2,正八品,8a
194,鹽道庫大使,80,Storehouse Commissioner-in-chief for Salt Circuit Intendant,0,0,0,9,"0,233974","0,333953",,0,0,4,4,"0,000753",0,2,正八品,8a
210,漢軍九品筆帖式,90,Han Bannerman Clerk 9th Rank,0,0,0,9,"0,240964","0,316999",,0,0,3,3,"0,000753",0,2,正九品,9a
261,滿洲蒙古正從七八九品小京官,,Manchu and Mongol Metropolitan Officials of Ranks 7b to 9b,0,0,0,8,"0,224215","0,290262",,0,0,2,2,"0,000753",0,2,NA,NA
262,漢軍七品八品筆帖式,,Han Bannerman Clerk 7th to 8th Rank,0,0,0,8,"0,203704","0,255438",,0,0,2,2,"0,000753",0,2,NA,NA
199,太醫院八品吏目,85,Medical Secretary in the Imperial Academy of Medicine 8th Rank,0,0,0,10,"0,213542","0,289136",Beijing,156,1,4,5,"0,001345","0,002342",3,從八品,8b
220,太醫院九品吏目,95,Medical Secretary in the Imperial Academy of Medicine 9th Rank,0,0,0,11,"0,179266","0,230049",Beijing,83,1,2,3,"0,001393","0,001523",3,從九品,9b
191,太醫院御醫,80,Royal Physician at the Imperial Academy of Medicine,0,0,0,3,"0,5","0,611111",Beijing,9,3,2,5,"0,001726","0,004898",3,正八品,8a
123,太醫院院判,60,Vice Director of the Imperial Academy of Medicine,0,0,0,2,"0,666667","0,75",Beijing,8,2,2,4,"0,00222","0,003627",3,正六品,6a
94,太醫院院使,50,Director of the Imperial Academy of Medicine,0,0,0,1,1,1,Beijing,5,2,1,3,"0,00264","0,002849",3,正五品,5a
13,醫士,0,Student of Medicine,0,0,0,12,"0,153565","0,187261",,0,0,1,1,"0,000753",0,3,unranked,unranked
257,加京官銜(仍管太醫院事務),,Add Metropolitan Brevet,0,0,0,0,0,0,,0,1,0,1,"0,002996","0,00264",3,NA,NA
117,欽天監監副,60,Vice Director of the Directorate of Astronomy,0,0,0,7,"0,244186","0,301871",Beijing,"264,554",8,4,12,"0,003486","0,01734",4,正六品,6a
119,欽天監春夏秋冬中五官正,60,Director of the Five Offices at the Directorate of Astronomy,0,0,0,8,"0,211712","0,278141",Beijing,"92,507838",5,6,11,"0,002141","0,01063",4,正六品,6a
