Id,Label,department,type,type2,posid,rankint,ranktrad,location,trsl,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,eigencentrality,clustering
1585,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099422","0,108993",0,"0,000084",1,"0,002166",1
1586,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099564","0,109037",0,"0,000083",1,"0,002458",1
1587,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,18,"0,106874","0,120149",0,"0,000067",1,"0,001467",1
1589,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,098103","0,106226",0,"0,000081",1,"0,00232",1
1598,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099996","0,109406",0,"0,000071",1,"0,001703",1
1600,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,098074","0,106084",0,"0,000092",1,"0,002821",1
1601,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,103086","0,113955",0,"0,000073",1,"0,001632",1
1602,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099389","0,108879",0,"0,000072",1,"0,001766",1
1603,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099422","0,108993",0,"0,000084",1,"0,002166",1
1604,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099564","0,109037",0,"0,000083",1,"0,002458",1
1605,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,18,"0,106874","0,120149",0,"0,000067",1,"0,001467",1
1607,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,098103","0,106226",0,"0,000081",1,"0,00232",1
4875,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,1","0,109433",0,"0,000067",1,"0,001338","0,5"
4877,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,098077","0,106111",0,"0,000069",1,"0,00134","0,5"
4878,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,10309","0,113982",0,"0,000067",1,"0,001338","0,5"
4879,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,099393","0,108905",0,"0,000067",1,"0,001338","0,5"
4880,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,099426","0,10902",0,"0,000068",1,"0,001339","0,5"
4881,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,099568","0,109064",0,"0,000068",1,"0,001339","0,5"
4882,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,18,"0,106878","0,120176",0,"0,000067",1,"0,001338","0,5"
4884,嚴議,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,2,3,20,"0,098107","0,106253",0,"0,000068",1,"0,001339","0,5"
4893,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,1","0,109433",0,"0,000067",1,"0,001338","0,5"
4895,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,098077","0,106111",0,"0,000069",1,"0,00134","0,5"
4896,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,10309","0,113982",0,"0,000067",1,"0,001338","0,5"
4897,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,099393","0,108905",0,"0,000067",1,"0,001338","0,5"
4898,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,099426","0,10902",0,"0,000068",1,"0,001339","0,5"
4899,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,099568","0,109064",0,"0,000068",1,"0,001339","0,5"
4900,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,18,"0,106878","0,120176",0,"0,000067",1,"0,001338","0,5"
4902,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,20,"0,098107","0,106253",0,"0,000068",1,"0,001339","0,5"
474,黃馬褂,特恩,Honorific,Performance,NA,,NA,Court,NA,1,4,5,1,5,6,21,"0,090538","0,101136",0,"0,000199",1,"0,023802","0,45"
764,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,6,"0,250862","0,269015",0,"0,000455",1,"0,066831","0,333333"
1720,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,3,4,1,4,5,11,"0,209899","0,232411",0,"0,000068",1,"0,001766","0,416667"
1723,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,099578","0,11043",0,"0,000066",1,"0,001607","0,333333"
1724,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,101085","0,113242",0,"0,00007",1,"0,001486","0,333333"
1725,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,101104","0,113354",0,"0,000111",1,"0,003022","0,333333"
1727,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,3,4,1,4,5,11,"0,209899","0,232411",0,"0,000077",1,"0,002166","0,416667"
1728,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,100942","0,1132",0,"0,000066",1,"0,001397","0,333333"
1730,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,3,4,1,4,5,9,"0,21527","0,238728",0,"0,000127",1,"0,007034","0,5"
1731,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,3,4,1,4,5,10,"0,214709","0,234753",0,"0,000075",1,"0,00254","0,416667"
1734,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,101085","0,113242",0,"0,000067",1,"0,001467","0,333333"
1735,賜裘,特恩,Honorific,Performance,NA,,NA,Court,NA,1,2,3,1,3,4,20,"0,100905","0,113041",0,"0,000064",1,"0,001378","0,5"
2355,花翎,特恩,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000114",1,"0,005773",0
2384,世襲,特恩,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000114",1,"0,005773",0
3520,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000138",1,"0,006429",0
3521,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000119",1,"0,00561",0
3524,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3525,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3526,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3527,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3528,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3529,公爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000056",1,"0,001637",0
3530,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000066",1,"0,00318",0
3531,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,00169",0
3532,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,001823",0
3533,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002321",0
3534,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000061",1,"0,002113",0
3535,男爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002154",0
3536,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000066",1,"0,00318",0
3537,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,00169",0
3538,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,001823",0
3539,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002321",0
3540,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000061",1,"0,002113",0
3541,子爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002154",0
3542,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000066",1,"0,00318",0
3543,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,00169",0
3544,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,001823",0
3545,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002321",0
3546,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000061",1,"0,002113",0
3547,伯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002154",0
3548,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000066",1,"0,00318",0
3549,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,00169",0
3550,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,001823",0
3551,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002321",0
3552,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000061",1,"0,002113",0
3553,王爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002154",0
3554,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000066",1,"0,00318",0
3555,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,00169",0
3556,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000059",1,"0,001823",0
3557,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000063",1,"0,002321",0
3558,侯爵,封典,Honorific,Performance,NA,,NA,Court,NA,1,0,1,1,0,1,0,0,0,0,"0,000061",1,"0,002113",0
